Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,L08R5000Q1,LEDRD254W57D500H1070,76.484682,-75.58,90.0,top
D2,L08R5000Q1,LEDRD254W57D500H1070,83.949788,-75.58,90.0,top
D3,L08R5000Q1,LEDRD254W57D500H1070,91.414894,-75.58,90.0,top
D4,L08R5000Q1,LEDRD254W57D500H1070,98.88,-75.58,90.0,top
R1,R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,98.88,-68.53,-90.0,top
R2,R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,76.54,-68.53,90.0,top
R3,R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,83.986666,-68.53,90.0,top
R4,R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,91.433332,-68.53,90.0,top
SW1,SW_Push,SW_Cherry_MX_1.00u_PCB,81.65,-102.28,0.0,top
SW2,SW_Push,SW_Cherry_MX_1.00u_PCB,101.956666,-102.28,0.0,top
SW3,SW_Push,SW_Cherry_MX_1.00u_PCB,122.263332,-102.28,0.0,top
SW4,SW_Push,SW_Cherry_MX_1.00u_PCB,142.57,-102.28,0.0,top
U1,XIAO-RP2040-DIP,XIAO-RP2040-DIP,113.02,-74.63,0.0,top
